Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 25.66      0.10     0.10 20000000     0.00     0.00  Eigen::internal::assign_op<double, double>::assignCoeff(double&, double const&) const
 20.53      0.18     0.08 20000000     0.00     0.00  Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::Matrix<double, -1, -1, 0, -1, -1> >, Eigen::internal::evaluator<Eigen::CwiseNullaryOp<Eigen::internal::scalar_random_op<double>, Eigen::Matrix<double, -1, -1, 0, -1, -1> > >, Eigen::internal::assign_op<double, double>, 0>::assignCoeff(long)
 16.68      0.25     0.07 20000000     0.00     0.00  Eigen::internal::random_default_impl<double, false, false>::run(double const&, double const&)
 16.68      0.31     0.07 20000000     0.00     0.00  Eigen::internal::random_default_impl<double, false, false>::run()
  7.70      0.34     0.03 20000000     0.00     0.00  Eigen::internal::random_retval<Eigen::internal::global_math_functions_filtering_base<double, void>::type>::type Eigen::internal::random<double>()
  5.13      0.36     0.02 20000000     0.00     0.00  double Eigen::internal::nullary_wrapper<double, Eigen::internal::scalar_random_op<double>, true, false, false>::operator()<long>(Eigen::internal::scalar_random_op<double> const&, long, long) const
  5.13      0.38     0.02       20     1.00    19.52  Eigen::internal::dense_assignment_loop<Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::Matrix<double, -1, -1, 0, -1, -1> >, Eigen::internal::evaluator<Eigen::CwiseNullaryOp<Eigen::internal::scalar_random_op<double>, Eigen::Matrix<double, -1, -1, 0, -1, -1> > >, Eigen::internal::assign_op<double, double>, 0>, 1, 0>::run(Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::Matrix<double, -1, -1, 0, -1, -1> >, Eigen::internal::evaluator<Eigen::CwiseNullaryOp<Eigen::internal::scalar_random_op<double>, Eigen::Matrix<double, -1, -1, 0, -1, -1> > >, Eigen::internal::assign_op<double, double>, 0>&)
  2.57      0.39     0.01 20000000     0.00     0.00  Eigen::internal::scalar_random_op<double>::operator()() const
  0.00      0.39     0.00 20000000     0.00     0.00  Eigen::internal::evaluator<Eigen::PlainObjectBase<Eigen::Matrix<double, -1, -1, 0, -1, -1> > >::coeffRef(long)
  0.00      0.39     0.00 20000000     0.00     0.00  double Eigen::internal::evaluator<Eigen::CwiseNullaryOp<Eigen::internal::scalar_random_op<double>, Eigen::Matrix<double, -1, -1, 0, -1, -1> > >::coeff<long>(long) const
  0.00      0.39     0.00      160     0.00     0.00  Eigen::internal::variable_if_dynamic<long, -1>::value() const
  0.00      0.39     0.00      110     0.00     0.00  Eigen::DenseStorage<double, -1, -1, -1, 0>::rows() const
  0.00      0.39     0.00      110     0.00     0.00  Eigen::PlainObjectBase<Eigen::Matrix<double, -1, -1, 0, -1, -1> >::rows() const
  0.00      0.39     0.00      100     0.00     0.00  Eigen::EigenBase<Eigen::Matrix<double, -1, -1, 0, -1, -1> >::derived() const
  0.00      0.39     0.00       90     0.00     0.00  Eigen::DenseStorage<double, -1, -1, -1, 0>::cols() const
  0.00      0.39     0.00       90     0.00     0.00  Eigen::PlainObjectBase<Eigen::Matrix<double, -1, -1, 0, -1, -1> >::cols() const
  0.00      0.39     0.00       86     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::base() const
  0.00      0.39     0.00       80     0.00     0.00  Eigen::CwiseNullaryOp<Eigen::internal::scalar_random_op<double>, Eigen::Matrix<double, -1, -1, 0, -1, -1> >::cols() const
  0.00      0.39     0.00       80     0.00     0.00  Eigen::CwiseNullaryOp<Eigen::internal::scalar_random_op<double>, Eigen::Matrix<double, -1, -1, 0, -1, -1> >::rows() const
  0.00      0.39     0.00       60     0.00     0.00  Eigen::EigenBase<Eigen::CwiseNullaryOp<Eigen::internal::scalar_random_op<double>, Eigen::Matrix<double, -1, -1, 0, -1, -1> > >::derived() const
  0.00      0.39     0.00       50     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::operator++()
  0.00      0.39     0.00       50     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::operator*() const
